year,Country.Name,Country.Code,n
1987,United States,USA,543
1988,China,CHN,516
1988,France,FRA,589
1988,Germany,DEU,481
1988,India,IND,613
1988,Italy,ITA,547
1988,Japan,JPN,466
1988,Russian Federation,RUS,167
1988,United Kingdom,GBR,551
1988,United States,USA,523
1989,China,CHN,534
1989,France,FRA,593
1989,Germany,DEU,485
1989,India,IND,611
1989,Italy,ITA,558
1989,Japan,JPN,464
1989,Russian Federation,RUS,234
1989,United Kingdom,GBR,552
1989,United States,USA,555
1990,China,CHN,665
1990,France,FRA,720
1990,Germany,DEU,594
1990,India,IND,734
1990,Italy,ITA,661
1990,Japan,JPN,571
1990,Russian Federation,RUS,367
1990,United Kingdom,GBR,677
1990,United States,USA,675
1991,China,CHN,647
1991,France,FRA,716
1991,Germany,DEU,673
1991,India,IND,750
1991,Italy,ITA,708
1991,Japan,JPN,595
1991,Russian Federation,RUS,419
1991,United Kingdom,GBR,715
1991,United States,USA,708
1992,China,CHN,700
1992,France,FRA,722
1992,Germany,DEU,703
1992,India,IND,750
1992,Italy,ITA,701
1992,Japan,JPN,595
1992,Russian Federation,RUS,553
1992,United Kingdom,GBR,720
1992,United States,USA,676
1993,China,CHN,700
1993,France,FRA,734
1993,Germany,DEU,739
1993,India,IND,764
1993,Italy,ITA,708
1993,Japan,JPN,582
1993,Russian Federation,RUS,586
1993,United Kingdom,GBR,696
1993,United States,USA,696
1994,China,CHN,692
1994,France,FRA,737
1994,Germany,DEU,736
1994,India,IND,788
1994,Italy,ITA,707
1994,Japan,JPN,623
1994,Russian Federation,RUS,707
1994,United Kingdom,GBR,700
1994,United States,USA,707
1995,China,CHN,739
1995,France,FRA,758
1995,Germany,DEU,765
1995,India,IND,774
1995,Italy,ITA,781
1995,Japan,JPN,647
1995,Russian Federation,RUS,705
1995,United Kingdom,GBR,722
1995,United States,USA,753
1996,China,CHN,795
1996,France,FRA,805
1996,Germany,DEU,797
1996,India,IND,816
1996,Italy,ITA,807
1996,Japan,JPN,730
1996,Russian Federation,RUS,729
1996,United Kingdom,GBR,754
1996,United States,USA,791
1997,China,CHN,749
1997,France,FRA,760
1997,Germany,DEU,755
1997,India,IND,788
1997,Italy,ITA,751
1997,Japan,JPN,690
1997,Russian Federation,RUS,718
1997,United Kingdom,GBR,717
1997,United States,USA,758
1998,China,CHN,763
1998,France,FRA,795
1998,Germany,DEU,782
1998,India,IND,782
1998,Italy,ITA,807
1998,Japan,JPN,757
1998,Russian Federation,RUS,789
1998,United Kingdom,GBR,784
1998,United States,USA,821
1999,China,CHN,723
1999,France,FRA,797
1999,Germany,DEU,772
1999,India,IND,828
1999,Italy,ITA,788
1999,Japan,JPN,711
1999,Russian Federation,RUS,758
1999,United Kingdom,GBR,776
1999,United States,USA,775
2000,China,CHN,881
2000,France,FRA,927
2000,Germany,DEU,910
2000,India,IND,1054
2000,Italy,ITA,935
2000,Japan,JPN,818
2000,Russian Federation,RUS,910
2000,United Kingdom,GBR,938
2000,United States,USA,907
2001,China,CHN,800
2001,France,FRA,873
2001,Germany,DEU,852
2001,India,IND,929
2001,Italy,ITA,908
2001,Japan,JPN,752
2001,Russian Federation,RUS,891
2001,United Kingdom,GBR,862
2001,United States,USA,836
2002,China,CHN,863
2002,France,FRA,902
2002,Germany,DEU,901
2002,India,IND,940
2002,Italy,ITA,899
2002,Japan,JPN,794
2002,Russian Federation,RUS,973
2002,United Kingdom,GBR,901
2002,United States,USA,885
2003,China,CHN,840
2003,France,FRA,918
2003,Germany,DEU,912
2003,India,IND,960
2003,Italy,ITA,925
2003,Japan,JPN,798
2003,Russian Federation,RUS,934
2003,United Kingdom,GBR,911
2003,United States,USA,867
2004,China,CHN,826
2004,France,FRA,946
2004,Germany,DEU,950
2004,India,IND,959
2004,Italy,ITA,940
2004,Japan,JPN,795
2004,Russian Federation,RUS,935
2004,United Kingdom,GBR,929
2004,United States,USA,902
